despues_C_sf_1,despues_C_sf_2,despues_C_sf_3,despues_C_sf_4,despues_C_sf_5,despues_C_sf_6,despues_C_sf_7,despues_C_sf_8,despues_C_sf_9,despues_C_sf_10,despues_C_sf_11,despues_C_sf_12,despues_C_sf_13,despues_C_sf_14,despues_C_sf_15,despues_C_sf_16,despues_C_sf_17,despues_C_sf_18,despues_C_sf_19,Sujeto,Clase
0,0.33333,0.66667,0.78571,0.80952,0,0.5,0.66667,0.4,0.71429,0.6,0,0.66667,0.55556,0.78571,0.66667,0,NaN,0.4,A10GUAC,H
0,0.53333,0.57143,0.61905,0.8,NaN,NaN,1,0.71429,0.51111,0.60714,0.7,0.47222,0.57143,0.5,1,0.83333,NaN,0,A11BRCA,H
NaN,0.42857,0.57143,0.64286,0.48889,0.33333,0,1,0.26667,0.58333,0.53333,NaN,NaN,1,0.55556,0.86667,NaN,0.33333,0.6,A12CAPA,H
0.66667,1,0.37778,0.73333,0.42857,1,1,0.66667,0.42857,0.27273,0.8,0.66667,0.4,0.5,0.73333,0.4,0.66667,0.4,0.46667,A13RIVI,H
0.63889,0.53333,0.49524,0.62222,1,0.61111,0.52727,1,0.52778,0.5641,0.63636,0.7,0.86667,0.64444,0.58974,0.54545,0,0.78571,0.82143,A14RARO,H
0.83333,0.52778,0.59091,0.77778,0.85714,0.5,NaN,0.77778,0.58333,0.55556,0.77778,0.63889,0.72222,0.52564,0.60606,0.73333,0.86667,0.5,0.66667,A15GOGA,H
0,0.8,0.53333,0.44444,0.5,0.2,NaN,0.7,0.8,0.57143,0.43636,0.16667,0.39286,0.46667,0.44444,0.5,0.33333,1,0.6,A17MUSI,H
0.33333,0.33333,0.52381,0.64286,0.8,0.3,1,0.66667,0.52381,0.38182,0.5,NaN,0.66667,0.52778,0.57778,0.71429,0.5,0.9,0.8,A18RURI,M
0.8,1,0.54545,0.56061,0.57143,0.33333,1,0.52381,0.69444,0.66667,0.51111,NaN,0.55556,0.71429,0.60606,0.71429,0.41667,0.66667,0,A19MOEP,M
0.5,0.16667,0.33333,0.55128,0.75,0.3,0.6,0.51282,0.86667,0.47222,0.72222,0.57143,0.55556,0.63889,0.95238,1,0.4,0.3,0.6,A1ARVAE,H
NaN,0.2,0.69091,0.86111,0.91667,NaN,NaN,0.95238,0.71429,0.73333,0.74545,NaN,0.7,0.77778,0.62121,0.91667,NaN,NaN,0.92857,A21AGLO,H
0.4,0.66667,1,0.47222,0.66667,NaN,NaN,1,0.55556,0.67857,0.58333,0,0.6,0.63889,0.71429,0.53333,0.83333,NaN,1,A22SAHE,H
0.93939,0.91209,0.90476,0.90476,NaN,0.93407,0.92727,0.81667,0.90476,0.90476,1,0.82051,0.9359,0.90476,0.92308,0.85714,0.8381,NaN,0.9359,A24FLMA,H
0,0.33333,0.86667,0.73333,0.3,1,0,0.33333,0.48889,0.80952,0.52778,0,0.57143,0.47619,0.44444,0.66667,0,0.33333,0.28571,A27HECE,M
0.2,0.7,0.57143,0.66667,1,0,0.33333,0.5,0.47222,0.46667,0.39394,0.38095,0.5,0.46667,0.5,0.71429,0.5,0,0.4,A28TOPA,M
1,0.3,0.66667,0.53333,0.5,NaN,NaN,0.66667,0.46667,0.47619,0.46667,0.83333,0.6,0.33333,0.6,1,NaN,NaN,1,A52CUCA,H
NaN,NaN,0.66667,0.46429,0.7,0.66667,NaN,0.6,0.4,0.6,0.35714,0,1,0.83333,0.39286,0.32143,0,NaN,0.7,A8ESSAI,M
0.6,0.6,0.52727,0.57143,0,0.33333,NaN,0.6,0.53571,0.8,0.50909,NaN,1,0.57778,0.93333,0.80952,NaN,NaN,0.66667,A9AYAND,H
1,0.57143,0.59091,1,0.66667,1,0.80952,0.6,0.52727,0.61818,0.66667,0.93333,0.53846,0.53846,0.5,0.41667,0.75,0.9,0.71429,B10ESTO,M
0.38889,0.51111,0.56364,0.66667,0.32143,1,1,0.45455,0.61818,0.75,0.80952,0.5,0.38889,0.80952,0.63889,0,0.5,0.33333,0.33333,B11SUPR,H
0,0.66667,0.57143,0.5,0.7,0.2,0.66667,0.53333,0.5,0.53333,0.55556,0.5,0.26667,0.35556,0.4,0.5,0.47619,1,0.52381,B12LARA,H
0.2,0.5,0.27778,0,0.4,0.5,NaN,0.83333,0.46667,0.6,0.52381,0.33333,0.33333,0.4,0.35714,0.66667,0.33333,1,1,B13VIGA,H
