despues_E_gamma_1,despues_E_gamma_2,despues_E_gamma_3,despues_E_gamma_4,despues_E_gamma_5,despues_E_gamma_6,despues_E_gamma_7,despues_E_gamma_8,despues_E_gamma_9,despues_E_gamma_10,despues_E_gamma_11,despues_E_gamma_12,despues_E_gamma_13,despues_E_gamma_14,despues_E_gamma_15,despues_E_gamma_16,despues_E_gamma_17,despues_E_gamma_18,despues_E_gamma_19,Sujeto,Clase
2,1,15,20,23,1,1,3,8,23,26,0,2,31,30,18,1,19,10,A18RURI,A
0,3,18,20,7,0,0,7,7,19,9,0,14,11,21,11,1,5,3,A19MOEP,A
0,0,8,7,0,1,0,2,14,11,23,0,10,12,14,4,0,0,8,A27HECE,A
10,22,19,16,0,5,18,24,27,53,38,16,27,28,32,21,7,5,10,A28TOPA,A
0,0,6,24,16,6,0,25,19,10,27,3,1,12,27,19,0,0,6,A8ESSAI,A
0,9,38,5,2,20,23,12,39,40,23,9,43,35,45,20,16,15,17,B10ESTO,B
0,10,26,46,22,0,3,31,39,44,48,0,0,34,50,50,0,28,43,B14FOVA,B
0,0,21,16,12,0,0,6,6,29,24,0,0,21,26,18,0,0,13,B15GOGO,B
9,4,20,6,0,28,12,25,14,19,0,0,13,34,30,7,20,16,10,B17ARTO,B
0,1,10,1,3,1,0,7,11,10,19,0,0,7,15,9,0,3,5,B20RORA,B
0,0,19,0,5,0,0,12,10,21,24,0,0,14,21,11,0,0,13,B21GUDE,B
1,0,26,10,21,0,0,7,11,12,15,2,0,8,17,21,2,10,5,B23VEZE,B
39,43,40,0,20,43,16,37,33,46,29,35,17,45,36,10,21,11,10,B25MEVI,B
0,1,11,14,2,0,0,3,8,12,14,0,0,5,9,9,0,0,2,B5ARMON,B
0,1,5,5,0,0,0,1,4,13,14,0,0,10,12,8,0,0,5,B6SOMOD,B
5,6,19,22,22,5,0,14,9,26,26,2,4,6,20,6,2,0,16,M10CAUR,M
3,5,25,26,20,1,0,18,11,31,27,0,0,8,22,22,0,1,5,M11BADE,M
0,2,4,7,0,0,0,3,3,11,7,0,1,0,4,0,0,0,0,M13FECA,M
6,17,15,7,2,9,4,11,17,20,24,4,5,17,10,7,21,7,1,M16ARVE,M
27,37,38,12,20,31,19,16,43,26,41,21,47,33,16,29,21,21,3,M17GOSE,M
8,15,32,14,7,9,0,7,19,27,21,3,13,22,9,15,6,1,0,M18HUME,M
0,22,13,36,13,20,0,29,11,39,1,9,16,12,33,3,0,0,19,M21SANA,M
0,2,1,2,3,0,0,1,2,0,0,0,2,1,1,1,0,0,2,M22HUGU,M
0,9,19,13,14,0,0,25,11,26,29,0,3,18,19,15,0,0,3,M23SACA,M
5,0,8,10,13,0,1,0,3,18,18,1,1,6,11,13,0,0,12,M25MAVI,M
0,3,12,17,13,0,0,11,17,27,28,1,7,17,26,12,0,0,10,M28NUCO,M
