durante_E_alpha_1,durante_E_alpha_2,durante_E_alpha_3,durante_E_alpha_4,durante_E_alpha_5,durante_E_alpha_6,durante_E_alpha_7,durante_E_alpha_8,durante_E_alpha_9,durante_E_alpha_10,durante_E_alpha_11,durante_E_alpha_12,durante_E_alpha_13,durante_E_alpha_14,durante_E_alpha_15,durante_E_alpha_16,durante_E_alpha_17,durante_E_alpha_18,durante_E_alpha_19,Sujeto,Clase
15,7,13,0,2,15,29,7,26,32,18,18,22,25,15,6,25,21,10,B10ESTO,B
41,37,0,1,32,41,1,3,21,41,44,35,41,2,5,45,35,4,3,B11SUPR,B
17,19,12,7,13,16,3,4,20,3,8,17,19,6,11,5,3,19,5,B12LARA,B
40,34,62,17,14,21,27,1,39,50,32,34,55,61,32,10,38,46,47,B13VIGA,B
1,8,27,22,1,44,6,9,22,11,25,6,24,34,41,30,5,44,27,B14FOVA,B
50,48,48,13,3,46,25,5,54,46,34,10,57,66,66,6,46,12,22,B15GOGO,B
26,0,13,26,26,31,26,16,13,11,1,29,10,1,22,23,35,0,6,B17ARTO,B
20,38,22,5,18,18,23,13,34,30,11,21,17,35,19,7,4,12,16,B18CASI,B
1,5,12,4,3,9,8,0,8,27,21,21,11,18,22,1,7,18,17,B20RORA,B
3,0,22,0,1,3,0,2,26,26,23,4,26,26,26,15,1,4,26,B21GUDE,B
40,0,57,0,9,0,40,9,29,57,34,50,37,54,27,6,54,44,41,B22VIPU,B
36,5,0,51,21,36,16,44,51,42,14,36,39,13,0,9,40,51,0,B23VEZE,B
13,31,28,21,2,1,1,0,8,37,30,19,5,36,30,35,0,0,15,B24CECU,B
40,36,39,10,23,28,26,14,17,4,32,56,21,6,15,32,15,5,13,B25MEVI,B
19,58,43,13,17,35,0,6,45,30,30,46,54,48,57,1,32,20,10,B4CAZAD,B
14,14,30,26,27,15,24,31,8,41,15,5,7,26,26,0,2,1,0,B5ARMON,B
13,19,6,0,0,0,0,0,25,25,15,1,16,28,21,15,6,0,2,B6SOMOD,B
21,35,27,18,16,27,33,6,48,25,18,33,40,42,21,22,40,23,27,B7MESEA,B
29,68,26,42,63,5,10,52,36,33,63,9,68,49,65,43,21,52,55,B8RAMOM,B
45,50,46,33,69,64,21,42,37,49,41,32,55,74,20,24,19,63,14,M9BENIE,M
39,26,24,16,14,31,20,22,35,45,34,24,35,24,22,13,6,12,20,M10CAUR,M
16,28,27,7,2,13,0,6,34,15,9,13,18,19,22,1,9,5,17,M11BADE,M
11,8,3,6,5,2,2,2,9,10,5,8,11,1,5,2,3,2,1,M12SAES,M
48,42,44,53,3,0,37,36,42,48,27,48,40,3,6,9,34,1,4,M13FECA,M
29,28,2,32,16,12,17,35,23,34,31,19,33,14,20,3,0,2,7,M16ARVE,M
77,70,0,1,0,36,0,62,70,50,54,77,77,69,77,26,70,60,51,M17GOSE,M
6,62,31,48,19,31,32,17,33,33,41,0,18,36,43,23,43,27,0,M18HUME,M
12,5,0,3,12,3,2,1,42,41,25,31,31,35,35,15,36,7,39,M19NAMO,M
2,6,20,22,10,6,10,21,15,11,21,5,5,9,21,0,10,8,14,M21SANA,M
21,114,113,113,101,114,114,113,114,113,55,21,124,113,113,101,89,113,113,M22HUGU,M
3,5,11,13,8,10,6,8,12,9,13,6,15,8,8,14,2,2,3,M23SACA,M
21,25,28,1,5,32,2,0,31,15,4,30,30,35,5,8,13,35,7,M24SAME,M
9,0,3,6,1,14,5,2,15,2,1,11,8,0,1,1,3,8,0,M25MAVI,M
2,46,11,51,43,2,0,45,59,59,54,26,45,55,54,17,49,24,0,M27MUAG,M
27,0,21,6,5,0,3,5,27,28,3,27,27,27,23,5,27,0,0,M28NUCO,M
81,64,6,57,103,103,33,64,74,91,106,81,103,76,35,42,81,93,33,M3ESDIR,M
28,30,47,28,34,23,38,45,19,18,28,21,41,16,6,39,34,17,37,M7FLSAA,M
35,48,37,25,32,33,16,5,48,28,17,30,25,35,19,16,24,1,0,M8AVGUK,M
66,94,91,107,71,66,70,85,94,101,29,100,101,107,78,3,100,19,58,M9SAAND,M
