durante_E_gamma_1,durante_E_gamma_2,durante_E_gamma_3,durante_E_gamma_4,durante_E_gamma_5,durante_E_gamma_6,durante_E_gamma_7,durante_E_gamma_8,durante_E_gamma_9,durante_E_gamma_10,durante_E_gamma_11,durante_E_gamma_12,durante_E_gamma_13,durante_E_gamma_14,durante_E_gamma_15,durante_E_gamma_16,durante_E_gamma_17,durante_E_gamma_18,durante_E_gamma_19,Sujeto,Clase
14,11,7,0,0,5,0,3,18,14,7,12,18,14,6,1,6,0,2,B10ESTO,B
0,3,12,3,2,3,0,1,7,9,14,1,2,8,6,3,0,0,1,B11SUPR,B
0,0,34,6,5,0,0,11,18,18,25,5,20,31,31,5,16,28,23,B12LARA,B
1,0,4,2,3,0,0,1,3,5,9,0,6,10,6,6,2,0,2,B13VIGA,B
9,9,43,20,2,5,0,15,26,29,44,5,30,38,40,16,3,21,35,B14FOVA,B
0,0,27,27,31,0,0,21,29,36,34,0,3,25,36,13,0,0,6,B15GOGO,B
46,1,54,50,23,36,47,34,62,80,0,40,53,80,87,72,70,52,58,B17ARTO,B
3,5,14,2,2,3,2,19,19,10,15,5,0,21,0,8,1,6,9,B18CASI,B
1,4,5,0,0,0,0,1,4,9,8,0,0,4,6,3,0,0,3,B20RORA,B
0,0,2,0,6,0,0,0,7,17,13,0,0,9,15,15,0,0,6,B21GUDE,B
10,3,42,3,21,0,0,47,48,57,57,46,46,56,52,47,25,1,21,B22VIPU,B
8,3,41,36,51,12,11,28,56,53,58,50,22,51,53,43,14,0,28,B23VEZE,B
0,3,13,6,0,0,0,0,3,16,13,0,0,15,15,12,0,0,3,B24CECU,B
15,12,8,0,1,12,5,8,12,10,6,10,19,4,7,10,17,3,6,B25MEVI,B
1,37,51,52,36,0,0,51,44,51,51,0,51,43,51,1,0,0,35,B4CAZAD,B
13,15,18,19,14,6,1,5,26,14,30,13,2,7,6,11,8,4,10,B5ARMON,B
0,1,23,19,12,1,20,19,6,13,30,0,0,7,23,20,0,5,17,B6SOMOD,B
1,2,3,4,7,1,0,3,5,7,0,1,5,9,7,3,1,2,2,B7MESEA,B
12,33,21,40,21,7,0,4,33,22,33,30,15,33,30,16,3,6,10,B8RAMOM,B
0,1,19,15,23,1,0,13,11,27,24,1,3,25,13,1,1,2,3,M9BENIE,M
3,11,14,18,11,1,0,3,14,24,16,7,14,3,17,12,1,0,14,M10CAUR,M
1,1,6,28,30,2,0,22,23,27,30,2,0,14,24,19,0,0,26,M11BADE,M
0,8,19,21,12,0,0,3,4,19,16,0,1,16,16,3,0,0,0,M12SAES,M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M13FECA,M
9,9,19,16,13,4,3,12,5,14,22,3,3,2,8,3,1,0,1,M16ARVE,M
38,35,37,35,4,26,0,25,23,38,18,6,32,5,14,5,9,0,1,M17GOSE,M
2,50,42,48,28,22,0,7,50,45,41,1,25,43,52,45,6,3,0,M18HUME,M
0,22,32,35,14,22,0,4,38,37,35,1,10,41,28,28,5,3,5,M19NAMO,M
0,0,0,1,0,0,0,0,0,4,6,0,0,5,5,0,0,0,3,M21SANA,M
13,20,34,28,14,7,2,42,43,34,0,2,31,40,40,8,23,3,15,M22HUGU,M
0,11,13,22,21,0,1,4,15,37,25,0,20,23,32,13,8,8,14,M23SACA,M
0,8,30,39,16,3,29,17,28,24,38,0,13,33,21,18,20,10,16,M24SAME,M
1,0,10,3,1,0,0,0,13,9,5,6,9,9,3,3,9,0,3,M25MAVI,M
0,10,16,14,11,1,0,14,16,27,26,0,4,10,21,3,1,0,0,M27MUAG,M
0,0,13,20,17,0,0,13,3,14,28,0,11,13,22,12,0,0,14,M28NUCO,M
0,9,11,4,7,15,0,5,19,14,17,0,9,16,16,1,0,0,4,M3ESDIR,M
7,12,58,9,27,10,10,31,28,34,39,2,15,35,32,33,4,25,30,M7FLSAA,M
5,18,21,31,29,1,1,8,40,33,30,6,21,39,34,29,7,1,12,M8AVGUK,M
0,8,14,13,11,3,0,3,14,18,17,0,0,12,12,3,0,0,4,M9SAAND,M
